Ativo,Fechamento Anterior,5 dias,10 dias,20 dias,30 dias,60 dias,90 dias,% Probabilidade
VALE3,83.98,84.45,84.89,85.96,86.86,89.34,92.1,59.78
PETR4,23.76,23.88,23.97,24.21,24.43,25.12,25.76,55.68
ITUB4,23.7,23.69,23.69,23.68,23.68,23.66,23.68,45.94
BBDC4,13.34,13.33,13.33,13.32,13.3,13.28,13.21,44.31
B3SA3,11.44,11.47,11.49,11.55,11.59,11.7,11.84,50.1
ABEV3,13.95,13.94,13.92,13.89,13.87,13.78,13.72,42.97
JBSS3,19.01,19.08,19.15,19.29,19.44,19.89,20.38,56.19
BBAS3,37.51,37.56,37.62,37.73,37.85,38.16,38.48,50.07
SUZB3,44.97,45.15,45.27,45.58,45.89,46.86,47.84,55.2
GGBR4,27.05,27.16,27.28,27.53,27.76,28.49,29.25,56.43
SBSP3,52.48,52.63,52.69,52.87,53.08,53.66,54.41,51.76
MGLU3,3.73,3.74,3.74,3.76,3.77,3.81,3.85,46.41
CSNA3,15.72,15.77,15.8,15.92,16.03,16.32,16.63,49.25
PETR3,27.01,27.12,27.27,27.47,27.72,28.49,29.39,55.97
MRFG3,6.78,6.79,6.79,6.82,6.86,6.94,7.0,48.96
USIM5,7.01,7.01,7.02,7.01,7.01,7.02,6.99,43.16
VIIA3,2.06,2.05,2.04,2.02,2.0,1.95,1.89,34.17
ELET3,32.28,32.36,32.46,32.63,32.79,33.09,33.63,49.44
CIEL3,5.14,5.12,5.1,5.06,5.01,4.89,4.78,35.35
WEGE3,40.26,40.49,40.73,41.22,41.69,43.34,44.94,65.16
PRIO3,32.21,32.64,33.07,33.96,34.94,37.79,40.8,65.4
ELET6,34.45,34.53,34.61,34.78,34.91,35.37,35.89,50.08
ITSA4,7.95,7.96,7.97,7.98,7.99,8.03,8.07,49.46
RENT3,52.51,52.72,52.91,53.39,53.93,55.26,56.59,55.59
EQTL3,26.08,26.17,26.24,26.4,26.6,27.09,27.59,59.17
RADL3,24.4,24.44,24.49,24.59,24.67,24.93,25.23,53.08
RDOR3,22.45,22.23,22.03,21.62,21.21,20.05,18.92,20.86
BPAC11,19.5,19.6,19.7,19.91,20.16,20.86,21.56,57.9
BBSE3,33.25,33.3,33.37,33.51,33.63,34.09,34.5,55.44
RAIL3,18.57,18.59,18.6,18.67,18.75,18.96,19.2,51.12
CSAN3,14.57,14.6,14.62,14.68,14.73,14.89,15.07,51.09
LREN3,18.47,18.46,18.41,18.36,18.3,18.11,17.91,40.51
HYPE3,40.67,40.73,40.83,40.92,41.04,41.32,41.66,50.68
VBBR3,14.92,14.92,14.92,14.89,14.87,14.86,14.82,44.0
ASAI3,16.56,16.59,16.62,16.68,16.76,16.91,17.12,52.59
CMIG4,10.75,10.78,10.82,10.9,10.99,11.27,11.56,57.69
TOTS3,28.54,28.65,28.78,29.03,29.23,29.92,30.55,56.44
KLBN11,18.44,18.45,18.46,18.46,18.48,18.56,18.63,48.53
NTCO3,12.22,12.16,12.08,11.9,11.76,11.32,10.85,29.93
HAPV3,2.48,2.47,2.46,2.45,2.43,2.39,2.33,36.4
BRFS3,6.6,6.55,6.51,6.42,6.32,,,
RRRP3,28.19,28.28,28.35,28.45,28.63,29.07,29.55,49.45
MULT3,24.76,24.79,24.82,24.83,24.85,24.91,25.0,46.88
ALSO3,17.41,17.39,17.36,17.3,17.25,17.08,16.91,41.11
CYRE3,15.7,15.72,15.73,15.81,15.83,15.98,16.14,47.72
AZUL4,12.73,12.69,12.66,12.62,12.55,12.34,12.15,37.05
PETZ3,6.2,6.16,6.11,6.02,5.93,5.68,5.43,28.59
LWSA3,6.0,6.01,6.02,6.04,6.05,6.06,6.1,42.97
CVCB3,3.27,3.24,3.22,3.16,3.1,2.92,2.75,26.97
